Date,State,Incident Description
1979,Florida,Severe Storm/Flooding
1979,Tennessee,Severe Storm/Flooding
1979,Louisiana,Severe Storm/Flooding
1979,Minnesota,Severe Storm/Flooding
1979,Illinois,Severe Storm/Flooding
1979,Texas,Severe Storm/Flooding
1979,North Dakota,Winter Storm
1979,Missouri,Severe Storm/Flooding
1979,Alabama,Severe Storm/Flooding
1979,Mississippi,Severe Storm/Flooding
1979,Mississippi,Severe Storm/Flooding
1979,Oklahoma,Severe Storm/Flooding
1979,Arkansas,Severe Storm/Flooding
1979,Texas,Severe Storm/Flooding
1979,Iowa,Severe Storm/Flooding
1979,Florida,Severe Storm/Flooding
1979,Alabama,Severe Storm/Flooding
1979,New Hampshire,Severe Storm/Flooding
1979,Georgia,Severe Storm/Flooding
1979,Missouri,Winter Storm
1979,Washington,Severe Storm/Flooding
1979,New Mexico,Severe Storm/Flooding
1979,Wisconsin,Winter Storm
1979,Illinois,Winter Storm
1980,California,Fire
1980,New Jersey,Drought
1980,California,Severe Storm/Flooding
1980,Texas,Tropical Storm
1980,Maine,Other
1980,Michigan,Severe Storm/Flooding
1980,Ohio,Severe Storm/Flooding
1980,Pennsylvania,Severe Storm/Flooding
1980,West Virginia,Severe Storm/Flooding
1980,Texas,Tropical Storm
1980,Wisconsin,Severe Storm/Flooding
1980,Colorado,Fire
1980,Pennsylvania,Severe Storm/Flooding
1980,Nebraska,Severe Storm/Flooding
1980,Idaho,Other
1980,Washington,Other
1980,New York,Other
1980,Louisiana,Severe Storm/Flooding
1980,Michigan,Severe Storm/Flooding
1980,Missouri,Severe Storm/Flooding
1980,Florida,Other
1980,Wisconsin,Fire
1980,Alabama,Severe Storm/Flooding
1980,Mississippi,Severe Storm/Flooding
1980,Arkansas,Severe Storm/Flooding
1980,Louisiana,Severe Storm/Flooding
1980,California,Severe Storm/Flooding
1980,Arizona,Severe Storm/Flooding
1980,California,Other
1981,Massachusetts,Fire
1981,Oklahoma,Severe Storm/Flooding
1981,Texas,Severe Storm/Flooding
1981,Texas,Severe Storm/Flooding
1981,Oregon,Fire
1981,Nevada,Severe Storm/Flooding
1981,Nevada,Fire
1981,Oregon,Fire
1981,Kansas,Severe Storm/Flooding
1981,Ohio,Severe Storm/Flooding
1981,Illinois,Severe Storm/Flooding
1981,Pennsylvania,Severe Storm/Flooding
1981,Montana,Severe Storm/Flooding
1981,Alabama,Severe Storm/Flooding
1981,Alabama,Severe Storm/Flooding
1981,Kentucky,Other
1982,Illinois,Severe Storm/Flooding
1982,Arkansas,Severe Storm/Flooding
1982,Missouri,Severe Storm/Flooding
1982,Kentucky,Severe Storm/Flooding
1982,California,Other
1982,Tennessee,Severe Storm/Flooding
1982,Missouri,Severe Storm/Flooding
1982,Tennessee,Severe Storm/Flooding
1982,Washington,Severe Storm/Flooding
1982,Colorado,Severe Storm/Flooding
1982,Florida,Severe Storm/Flooding
1982,Kansas,Severe Storm/Flooding
1982,Oklahoma,Severe Storm/Flooding
1982,Connecticut,Severe Storm/Flooding
1982,Illinois,Severe Storm/Flooding
1982,Texas,Severe Storm/Flooding
1982,North Dakota,Severe Storm/Flooding
1982,California,Fire
1982,Arkansas,Severe Storm/Flooding
1982,Mississippi,Severe Storm/Flooding
1982,Texas,Severe Storm/Flooding
1982,Michigan,Severe Storm/Flooding
1982,Ohio,Severe Storm/Flooding
1982,Indiana,Severe Storm/Flooding
1982,California,Severe Storm/Flooding
1983,Mississippi,Severe Storm/Flooding
1983,Alabama,Severe Storm/Flooding
1983,Idaho,Other
1983,Oklahoma,Severe Storm/Flooding
1983,New Mexico,Severe Storm/Flooding
1983,Arizona,Severe Storm/Flooding
1983,California,Severe Storm/Flooding
1983,Texas,Tropical Storm
1983,Arkansas,Severe Storm/Flooding
1983,Nevada,Fire
1983,Arizona,Severe Storm/Flooding
1983,California,Severe Storm/Flooding
1983,Oklahoma,Severe Storm/Flooding
1983,Illinois,Severe Storm/Flooding
1983,Mississippi,Severe Storm/Flooding
1983,California,Other
1983,Utah,Severe Storm/Flooding
1983,Louisiana,Severe Storm/Flooding
1983,Mississippi,Severe Storm/Flooding
1983,California,Severe Storm/Flooding
1983,Washington,Severe Storm/Flooding
1983,Louisiana,Severe Storm/Flooding
1984,Louisiana,Severe Storm/Flooding
1984,Texas,Severe Storm/Flooding
1984,Texas,Severe Storm/Flooding
1984,New York,Severe Storm/Flooding
1984,North Carolina,Tropical Storm
1984,New Mexico,Severe Storm/Flooding
1984,Nevada,Severe Storm/Flooding
1984,Montana,Fire
1984,Montana,Fire
1984,Oregon,Fire
1984,Pennsylvania,Severe Storm/Flooding
1984,Montana,Fire
1984,Utah,Severe Storm/Flooding
1984,Colorado,Severe Storm/Flooding
1984,Nebraska,Severe Storm/Flooding
1984,South Dakota,Severe Storm/Flooding
1984,Wisconsin,Severe Storm/Flooding
1984,Nebraska,Severe Storm/Flooding
1984,Iowa,Severe Storm/Flooding
1984,Kansas,Severe Storm/Flooding
1984,Missouri,Severe Storm/Flooding
1984,Connecticut,Severe Storm/Flooding
1984,Vermont,Severe Storm/Flooding
1984,Wisconsin,Severe Storm/Flooding
1984,Oklahoma,Severe Storm/Flooding
1984,Tennessee,Severe Storm/Flooding
1984,Virginia,Severe Storm/Flooding
1984,Kentucky,Severe Storm/Flooding
1984,West Virginia,Severe Storm/Flooding
1984,Louisiana,Severe Storm/Flooding
1984,Georgia,Severe Storm/Flooding
1984,Alabama,Severe Storm/Flooding
1984,Oklahoma,Severe Storm/Flooding
1984,Mississippi,Severe Storm/Flooding
1984,New York,Severe Storm/Flooding
1984,New Jersey,Severe Storm/Flooding
1984,South Carolina,Severe Storm/Flooding
1984,North Carolina,Severe Storm/Flooding
1984,Florida,Winter Storm
1984,Idaho,Winter Storm
1984,Texas,Winter Storm
1985,Florida,Tropical Storm
1985,Pennsylvania,Severe Storm/Flooding
