Year,State,Avg Temperature Index
2014,Oklahoma,58.9
2015,Oklahoma,60.824999999999996
2016,Oklahoma,62.20833333333332
1956,Oregon,46.050000000000004
1957,Oregon,45.95833333333332
1958,Oregon,49.008333333333326
1959,Oregon,46.81666666666666
1960,Oregon,46.50833333333333
1961,Oregon,47.599999999999994
1962,Oregon,46.425000000000004
1963,Oregon,47.05833333333333
1964,Oregon,45.34166666666667
1965,Oregon,46.88333333333333
1966,Oregon,47.43333333333334
1967,Oregon,47.79999999999999
1968,Oregon,47.199999999999996
1969,Oregon,46.458333333333336
1970,Oregon,46.73333333333333
1971,Oregon,45.824999999999996
1972,Oregon,46.31666666666667
1973,Oregon,47.291666666666664
1974,Oregon,47.03333333333334
1975,Oregon,45.824999999999996
1976,Oregon,46.449999999999996
1977,Oregon,47.0
1978,Oregon,46.558333333333344
1979,Oregon,46.93333333333333
1980,Oregon,47.041666666666664
1981,Oregon,47.81666666666666
